,mean_test_score,param_fs__k,param_rfr__criterion,param_rfr__n_estimators,param_fs__score_func
13,-0.38927627500000006,1,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
12,-0.38980516666666665,1,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
15,-0.39449328656218785,1,poisson,100,<function mutual_info_regression at 0x000001E067DC34C0>
9,-0.39449328656218785,1,squared_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
11,-0.39449328656218785,1,friedman_mse,100,<function mutual_info_regression at 0x000001E067DC34C0>
10,-0.39534860400220145,1,friedman_mse,50,<function mutual_info_regression at 0x000001E067DC34C0>
8,-0.39534860400220145,1,squared_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
14,-0.39534860400220145,1,poisson,50,<function mutual_info_regression at 0x000001E067DC34C0>
27,-0.39899906472222224,2,friedman_mse,100,<function mutual_info_regression at 0x000001E067DC34C0>
30,-0.4202137744444444,2,poisson,50,<function mutual_info_regression at 0x000001E067DC34C0>
28,-0.4223225999999999,2,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
