,mean_test_score,param_fs__k,param_knr__n_neighbors,param_knr__p,param_knr__weights,param_fs__score_func
162,-2.954006666666667,11,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
146,-2.9658694444444444,10,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
142,-2.971547,9,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
186,-2.9792827777777777,12,3,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
178,-2.9792827777777777,12,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
134,-2.9801173333333333,9,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
5,-2.9924089792988573,1,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
7,-2.9924089792988573,1,5,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
154,-3.0015894444444444,10,3,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
183,-3.0077053632116035,12,5,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
191,-3.0077053632116035,12,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
170,-3.0340855555555555,11,3,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
1,-3.0391226720727564,1,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
3,-3.0391226720727564,1,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
172,-3.1321660000000007,11,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
2,-3.135610555555556,1,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
0,-3.135610555555556,1,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
164,-3.136855666666667,11,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
180,-3.232537666666667,12,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
188,-3.232537666666667,12,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
150,-3.2388253333333332,10,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
158,-3.2622903333333335,10,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
166,-3.2892916666666663,11,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
182,-3.3691939999999994,12,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
190,-3.3691939999999994,12,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
174,-3.4465226666666666,11,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
