,mean_test_score,param_fs__k,param_knr__n_neighbors,param_knr__p,param_knr__weights,param_fs__score_func
163,-0.31976265681623417,7,5,2,distance,<function f_regression at 0x000001E067DE9620>
237,-0.32244693521980117,10,7,1,distance,<function f_regression at 0x000001E067DE9620>
245,-0.32549274362332004,11,5,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
196,-0.327028,9,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
184,-0.3334873333333333,8,5,1,uniform,<function f_regression at 0x000001E067DE9620>
213,-0.334484182943299,9,7,1,distance,<function f_regression at 0x000001E067DE9620>
160,-0.3381096666666667,7,5,1,uniform,<function f_regression at 0x000001E067DE9620>
232,-0.3393623333333333,10,5,1,uniform,<function f_regression at 0x000001E067DE9620>
206,-0.33995166666666665,9,3,2,uniform,<function f_regression at 0x000001E067DE9620>
261,-0.340014386344234,11,7,1,distance,<function f_regression at 0x000001E067DE9620>
187,-0.34066619563193606,8,5,2,distance,<function f_regression at 0x000001E067DE9620>
208,-0.3449143333333334,9,5,1,uniform,<function f_regression at 0x000001E067DE9620>
230,-0.34500555555555557,10,3,2,uniform,<function f_regression at 0x000001E067DE9620>
220,-0.34910433333333335,10,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
174,-0.34979499999999997,8,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
256,-0.352582,11,5,1,uniform,<function f_regression at 0x000001E067DE9620>
267,-0.3527818691420584,12,3,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
279,-0.3527818691420584,12,3,2,distance,<function f_regression at 0x000001E067DE9620>
24,-0.3549938888888889,2,3,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
167,-0.3553293087395027,7,7,2,distance,<function f_regression at 0x000001E067DE9620>
285,-0.35535116545277406,12,7,1,distance,<function f_regression at 0x000001E067DE9620>
273,-0.35535116545277406,12,7,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
249,-0.35759764233844227,11,7,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
138,-0.35997399999999996,6,5,2,uniform,<function f_regression at 0x000001E067DE9620>
112,-0.3618986666666667,5,5,1,uniform,<function f_regression at 0x000001E067DE9620>
280,-0.365724,12,5,1,uniform,<function f_regression at 0x000001E067DE9620>
268,-0.365724,12,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
227,-0.36634978723922323,10,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
31,-0.3670895734242382,2,5,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
235,-0.3680359116899009,10,5,2,distance,<function f_regression at 0x000001E067DE9620>
150,-0.36922066666666664,7,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
42,-0.3698,2,5,2,uniform,<function f_regression at 0x000001E067DE9620>
198,-0.3710033333333333,9,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
114,-0.3714613333333333,5,5,2,uniform,<function f_regression at 0x000001E067DE9620>
242,-0.3746183333333334,11,3,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
176,-0.37473261904761906,8,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
40,-0.37485833333333324,2,5,1,uniform,<function f_regression at 0x000001E067DE9620>
254,-0.3755083333333334,11,3,2,uniform,<function f_regression at 0x000001E067DE9620>
247,-0.3766721771674117,11,5,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
188,-0.3804838095238095,8,7,1,uniform,<function f_regression at 0x000001E067DE9620>
140,-0.38195428571428564,6,7,1,uniform,<function f_regression at 0x000001E067DE9620>
16,-0.38239199999999995,1,5,1,uniform,<function f_regression at 0x000001E067DE9620>
18,-0.38239199999999995,1,5,2,uniform,<function f_regression at 0x000001E067DE9620>
211,-0.384620824256511,9,5,2,distance,<function f_regression at 0x000001E067DE9620>
100,-0.3855506666666667,5,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
1,-0.3862486627259427,1,3,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
3,-0.3862486627259427,1,3,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
191,-0.38634728898863335,8,7,2,distance,<function f_regression at 0x000001E067DE9620>
124,-0.38960133333333336,6,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
236,-0.39304785714285717,10,7,1,uniform,<function f_regression at 0x000001E067DE9620>
259,-0.3930556813560452,11,5,2,distance,<function f_regression at 0x000001E067DE9620>
90,-0.39372299999999993,4,5,2,uniform,<function f_regression at 0x000001E067DE9620>
164,-0.395365,7,7,1,uniform,<function f_regression at 0x000001E067DE9620>
102,-0.395679,5,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
152,-0.3973497619047619,7,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
25,-0.39849053999484596,2,3,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
212,-0.39875261904761905,9,7,1,uniform,<function f_regression at 0x000001E067DE9620>
251,-0.4003282930955224,11,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
46,-0.4030735714285714,2,7,2,uniform,<function f_regression at 0x000001E067DE9620>
239,-0.40424984652203844,10,7,2,distance,<function f_regression at 0x000001E067DE9620>
260,-0.4044604761904761,11,7,1,uniform,<function f_regression at 0x000001E067DE9620>
44,-0.40522285714285716,2,7,1,uniform,<function f_regression at 0x000001E067DE9620>
215,-0.406630948944278,9,7,2,distance,<function f_regression at 0x000001E067DE9620>
266,-0.4072116666666667,12,3,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
278,-0.4072116666666667,12,3,2,uniform,<function f_regression at 0x000001E067DE9620>
162,-0.4090866666666666,7,5,2,uniform,<function f_regression at 0x000001E067DE9620>
284,-0.41011547619047617,12,7,1,uniform,<function f_regression at 0x000001E067DE9620>
272,-0.41011547619047617,12,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
5,-0.4132405430936009,1,5,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
7,-0.4132405430936009,1,5,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
244,-0.41402900000000004,11,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
224,-0.4162814285714285,10,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
9,-0.4167971820058053,1,7,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
11,-0.4167971820058053,1,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
275,-0.4172076896583904,12,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
287,-0.4172076896583904,12,7,2,distance,<function f_regression at 0x000001E067DE9620>
283,-0.4173767873979301,12,5,2,distance,<function f_regression at 0x000001E067DE9620>
271,-0.4173767873979301,12,5,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
263,-0.4177148325750391,11,7,2,distance,<function f_regression at 0x000001E067DE9620>
88,-0.417895,4,5,1,uniform,<function f_regression at 0x000001E067DE9620>
126,-0.41797966666666664,6,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
186,-0.41922099999999995,8,5,2,uniform,<function f_regression at 0x000001E067DE9620>
200,-0.4201469047619047,9,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
104,-0.42190071428571424,5,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
178,-0.4275830952380953,8,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
202,-0.42759357142857146,9,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
64,-0.43079899999999993,3,5,1,uniform,<function f_regression at 0x000001E067DE9620>
142,-0.43123904761904763,6,7,2,uniform,<function f_regression at 0x000001E067DE9620>
20,-0.43484404761904755,1,7,1,uniform,<function f_regression at 0x000001E067DE9620>
22,-0.43484404761904755,1,7,2,uniform,<function f_regression at 0x000001E067DE9620>
222,-0.436135,10,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
116,-0.4364349999999999,5,7,1,uniform,<function f_regression at 0x000001E067DE9620>
118,-0.43736404761904757,5,7,2,uniform,<function f_regression at 0x000001E067DE9620>
27,-0.43814852938993515,2,3,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
166,-0.4386859523809523,7,7,2,uniform,<function f_regression at 0x000001E067DE9620>
128,-0.43930380952380943,6,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
29,-0.44079558495940974,2,5,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
248,-0.44171523809523805,11,7,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
154,-0.44229595238095226,7,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
92,-0.44375357142857136,4,7,1,uniform,<function f_regression at 0x000001E067DE9620>
66,-0.4450076666666666,3,5,2,uniform,<function f_regression at 0x000001E067DE9620>
234,-0.4456429999999999,10,5,2,uniform,<function f_regression at 0x000001E067DE9620>
106,-0.44582499999999997,5,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
70,-0.4488433333333333,3,7,2,uniform,<function f_regression at 0x000001E067DE9620>
246,-0.450824,11,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
33,-0.4529314965526412,2,7,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
130,-0.4535542857142857,6,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
94,-0.45374833333333325,4,7,2,uniform,<function f_regression at 0x000001E067DE9620>
35,-0.4544471424174036,2,7,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
2,-0.4544822222222222,1,3,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
0,-0.4544822222222222,1,3,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
190,-0.45945333333333327,8,7,2,uniform,<function f_regression at 0x000001E067DE9620>
58,-0.4597666666666666,3,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
286,-0.46612904761904755,12,7,2,uniform,<function f_regression at 0x000001E067DE9620>
274,-0.46612904761904755,12,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
68,-0.4679411904761904,3,7,1,uniform,<function f_regression at 0x000001E067DE9620>
250,-0.4698607142857142,11,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
258,-0.46990033333333325,11,5,2,uniform,<function f_regression at 0x000001E067DE9620>
210,-0.4702543333333333,9,5,2,uniform,<function f_regression at 0x000001E067DE9620>
214,-0.4708497619047619,9,7,2,uniform,<function f_regression at 0x000001E067DE9620>
238,-0.4757871428571428,10,7,2,uniform,<function f_regression at 0x000001E067DE9620>
270,-0.4781013333333333,12,5,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
282,-0.4781013333333333,12,5,2,uniform,<function f_regression at 0x000001E067DE9620>
262,-0.47929857142857146,11,7,2,uniform,<function f_regression at 0x000001E067DE9620>
226,-0.47954880952380946,10,7,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
