,mean_test_score,param_dtr__criterion,param_dtr__splitter,param_fs__k,param_fs__score_func
126,-1.8579866666666667,absolute_error,best,4,<function f_regression at 0x000002C1AEAC9DA0>
148,-1.8598400000000002,poisson,random,3,<function f_regression at 0x000002C1AEAC9DA0>
104,-1.861071666666667,absolute_error,random,5,<function f_regression at 0x000002C1AEAC9DA0>
190,-1.868061666666667,poisson,best,12,<function f_regression at 0x000002C1AEAC9DA0>
191,-1.868061666666667,poisson,best,12,<function mutual_info_regression at 0x000002C1AEA9FC40>
59,-1.8771566666666668,friedman_mse,random,6,<function mutual_info_regression at 0x000002C1AEA9FC40>
18,-1.8876800000000002,squared_error,random,10,<function f_regression at 0x000002C1AEAC9DA0>
100,-1.890125,absolute_error,random,3,<function f_regression at 0x000002C1AEAC9DA0>
151,-1.8921199999999998,poisson,random,4,<function mutual_info_regression at 0x000002C1AEA9FC40>
138,-1.8952950000000004,absolute_error,best,10,<function f_regression at 0x000002C1AEAC9DA0>
52,-1.9011333333333336,friedman_mse,random,3,<function f_regression at 0x000002C1AEAC9DA0>
4,-1.9050633333333333,squared_error,random,3,<function f_regression at 0x000002C1AEAC9DA0>
116,-1.9055283333333335,absolute_error,random,11,<function f_regression at 0x000002C1AEAC9DA0>
11,-1.91571,squared_error,random,6,<function mutual_info_regression at 0x000002C1AEA9FC40>
139,-1.9182533333333336,absolute_error,best,10,<function mutual_info_regression at 0x000002C1AEA9FC40>
111,-1.9228999999999998,absolute_error,random,8,<function mutual_info_regression at 0x000002C1AEA9FC40>
43,-1.9291783333333334,squared_error,best,10,<function mutual_info_regression at 0x000002C1AEA9FC40>
117,-1.9351166666666668,absolute_error,random,11,<function mutual_info_regression at 0x000002C1AEA9FC40>
160,-1.9468733333333332,poisson,random,9,<function f_regression at 0x000002C1AEAC9DA0>
42,-1.9471400000000003,squared_error,best,10,<function f_regression at 0x000002C1AEAC9DA0>
46,-1.948495,squared_error,best,12,<function f_regression at 0x000002C1AEAC9DA0>
47,-1.948495,squared_error,best,12,<function mutual_info_regression at 0x000002C1AEA9FC40>
113,-1.9638516666666663,absolute_error,random,9,<function mutual_info_regression at 0x000002C1AEA9FC40>
102,-1.9657716666666665,absolute_error,random,4,<function f_regression at 0x000002C1AEAC9DA0>
142,-2.0018450000000003,absolute_error,best,12,<function f_regression at 0x000002C1AEAC9DA0>
143,-2.0018450000000003,absolute_error,best,12,<function mutual_info_regression at 0x000002C1AEA9FC40>
159,-2.0241966666666666,poisson,random,8,<function mutual_info_regression at 0x000002C1AEA9FC40>
158,-2.0348633333333335,poisson,random,8,<function f_regression at 0x000002C1AEAC9DA0>
112,-2.0405583333333333,absolute_error,random,9,<function f_regression at 0x000002C1AEAC9DA0>
105,-2.0480066666666668,absolute_error,random,5,<function mutual_info_regression at 0x000002C1AEA9FC40>
98,-2.0704566666666664,absolute_error,random,2,<function f_regression at 0x000002C1AEAC9DA0>
166,-2.08703,poisson,random,12,<function f_regression at 0x000002C1AEAC9DA0>
167,-2.08703,poisson,random,12,<function mutual_info_regression at 0x000002C1AEA9FC40>
71,-2.0968116666666665,friedman_mse,random,12,<function mutual_info_regression at 0x000002C1AEA9FC40>
70,-2.0968116666666665,friedman_mse,random,12,<function f_regression at 0x000002C1AEAC9DA0>
164,-2.1172166666666667,poisson,random,11,<function f_regression at 0x000002C1AEAC9DA0>
27,-2.236546666666667,squared_error,best,2,<function mutual_info_regression at 0x000002C1AEA9FC40>
171,-2.2513183333333338,poisson,best,2,<function mutual_info_regression at 0x000002C1AEA9FC40>
122,-2.275236666666667,absolute_error,best,2,<function f_regression at 0x000002C1AEAC9DA0>
147,-2.322071666666667,poisson,random,2,<function mutual_info_regression at 0x000002C1AEA9FC40>
149,-2.33758,poisson,random,3,<function mutual_info_regression at 0x000002C1AEA9FC40>
5,-2.3381133333333333,squared_error,random,3,<function mutual_info_regression at 0x000002C1AEA9FC40>
53,-2.3381133333333333,friedman_mse,random,3,<function mutual_info_regression at 0x000002C1AEA9FC40>
103,-2.371935,absolute_error,random,4,<function mutual_info_regression at 0x000002C1AEA9FC40>
99,-2.377855,absolute_error,random,2,<function mutual_info_regression at 0x000002C1AEA9FC40>
3,-2.378673333333334,squared_error,random,2,<function mutual_info_regression at 0x000002C1AEA9FC40>
152,-2.422001666666667,poisson,random,5,<function f_regression at 0x000002C1AEAC9DA0>
51,-2.435081666666667,friedman_mse,random,2,<function mutual_info_regression at 0x000002C1AEA9FC40>
75,-2.4634933333333335,friedman_mse,best,2,<function mutual_info_regression at 0x000002C1AEA9FC40>
170,-2.4686266666666667,poisson,best,2,<function f_regression at 0x000002C1AEAC9DA0>
74,-2.5538600000000002,friedman_mse,best,2,<function f_regression at 0x000002C1AEAC9DA0>
26,-2.5615266666666665,squared_error,best,2,<function f_regression at 0x000002C1AEAC9DA0>
153,-2.7567733333333333,poisson,random,5,<function mutual_info_regression at 0x000002C1AEA9FC40>
73,-2.818859388888889,friedman_mse,best,1,<function mutual_info_regression at 0x000002C1AEA9FC40>
0,-2.8567349999999996,squared_error,random,1,<function f_regression at 0x000002C1AEAC9DA0>
144,-2.8567349999999996,poisson,random,1,<function f_regression at 0x000002C1AEAC9DA0>
48,-2.8567349999999996,friedman_mse,random,1,<function f_regression at 0x000002C1AEAC9DA0>
96,-2.8567349999999996,absolute_error,random,1,<function f_regression at 0x000002C1AEAC9DA0>
168,-2.8836799999999996,poisson,best,1,<function f_regression at 0x000002C1AEAC9DA0>
120,-2.8836799999999996,absolute_error,best,1,<function f_regression at 0x000002C1AEAC9DA0>
72,-2.8836799999999996,friedman_mse,best,1,<function f_regression at 0x000002C1AEAC9DA0>
24,-2.8836799999999996,squared_error,best,1,<function f_regression at 0x000002C1AEAC9DA0>
121,-2.9178166666666665,absolute_error,best,1,<function mutual_info_regression at 0x000002C1AEA9FC40>
145,-3.028446333333333,poisson,random,1,<function mutual_info_regression at 0x000002C1AEA9FC40>
1,-3.028446333333333,squared_error,random,1,<function mutual_info_regression at 0x000002C1AEA9FC40>
49,-3.028446333333333,friedman_mse,random,1,<function mutual_info_regression at 0x000002C1AEA9FC40>
169,-3.080544111111111,poisson,best,1,<function mutual_info_regression at 0x000002C1AEA9FC40>
25,-3.080544111111111,squared_error,best,1,<function mutual_info_regression at 0x000002C1AEA9FC40>
97,-3.1422175,absolute_error,random,1,<function mutual_info_regression at 0x000002C1AEA9FC40>
